[SETTINGS]
start	3
width	320
height	240

#id	type	file
# type: 0: intro, 1: play scene 
[SCENES]
1	scene01.txt
2	scene02.txt
5	scene0005.txt
6	world_1-1.txt
7	world1-1-1.txt
8	world-map.txt
3	intro.txt

# id	file 
[TEXTURES]
-100	textures\bbox.png
0	textures\mario.png
10	textures\enemies.png
20	textures\misc.png
22	textures\misc2.png
23	textures\misc3.png
24	textures\misc4.png
30	textures\enemies1.png
31	textures\enemies2.png
32	textures\enemies3.png
80	textures\Map\world1-1_bank.png
100	textures\HUD.png
101	textures\hud_source.png
110	textures\letter.png
50	textures\effect.png
60	textures\Map\world1-1-1_bank.png
70	textures\Map\worldmap_bank.png
200	textures\worldmapObj.png
1	textures\title.png
